model_name,answer_type,examples,accuracy,pred_none_rate,pred_event_rate
audio-flamingo-3,event,460,0.33695652173913043,0.034782608695652174,0.9652173913043478
audio-flamingo-3,none,540,0.07222222222222222,0.07222222222222222,0.9277777777777778
audio-flamingo-3-no-audio,event,460,0.27608695652173915,0.19782608695652174,0.8021739130434783
audio-flamingo-3-no-audio,none,540,0.26851851851851855,0.26851851851851855,0.7314814814814815
qwen2-audio-7b-instruct,event,460,0.3,0.03695652173913044,0.9630434782608696
qwen2-audio-7b-instruct,none,540,0.07222222222222222,0.07222222222222222,0.9277777777777778
qwen2-audio-7b-instruct-no-audio,event,460,0.24565217391304348,0.14130434782608695,0.7956521739130434
qwen2-audio-7b-instruct-no-audio,none,540,0.23333333333333334,0.23333333333333334,0.7407407407407407
random,event,460,0.22391304347826088,0.21304347826086956,0.7869565217391304
random,none,540,0.362962962962963,0.362962962962963,0.6370370370370371
